search_id,coordinates_search,Unmet Demand
00F09CE1-0BB6-4CCC-BB88-77801975E1CA,"55.695025893483006,12.599529196092467",1
00F299CB-7322-4059-BD3E-D85E24A67333,"55.732540864120139,12.5640555754128",1
00add40d-1f31-44cb-9d4f-871f3cd21353,"55.6844204,12.6120586",1
00adffc2-7baa-4c54-bbe8-01cd01d6c328,"55.6696504,12.5713494",1
00caac50-9a48-457a-94af-bc2d39a20648,"55.6708057,12.5469681",1
00d56610-cbfd-4a0f-bb1e-7d207cfb4fbf,"55.6693941,12.571403",1
00ed1534-4720-47a4-bd1e-8b5183c8489d,"55.6696643,12.5715705",1
01079B44-8566-4DB7-A06C-0184E02CAD45,"55.67070093942403,12.623115498584344",1
0110ECA6-81B9-43FA-AC66-2F617EA4DD0B,"55.662572889279907,12.51905525207188",1
0110FDC6-5EB5-44BF-98E2-AF0C2AA2047A,"55.629191987576242,12.63989645765206",1
0128C340-DF06-4483-B535-6E6217B21816,"55.68717887933132,12.617842565050818",1
012EE21C-C7F0-4505-8933-CBB3E04F479B,"55.617267228714766,12.570658866327786",1
01329851-60E9-4E9C-8D03-D4091B06A7B5,"55.689174234918958,12.55196269602753",1
01369be2-48a1-4835-8656-ac93db1d8817,"55.6660187,12.5027827",1
013B49DA-4BAC-4218-90E1-73AEF9CC7D06,"55.692839960284779,12.618002723485047",1
0140A443-BD40-4D8F-A23C-2C2B75CA0933,"55.68981318043403,12.616269625662717",1
0141C5BD-FF71-4821-97CF-6EAFFEBEC451,"55.6935193979572,12.50623666158403",1
0148E705-7898-4FAC-B5B9-38D379656B39,"55.664030229960353,12.50497434907696",1
01525B8E-059C-451E-82B1-FBA718F26E8D,"55.672911301169059,12.600126732527659",1
015F39E0-8522-46EC-88CF-0562A3F16C40,"55.708950315315192,12.53827463197366",1
0164898f-102e-462b-a041-0e5891746077,"55.6700288,12.4940863",1
01656994-c5a5-4f03-805f-02260c2bff00,"55.6682052,12.4989801",1
01699EA7-3CDD-418C-9E97-04B8539CB837,"55.624499141839721,12.576720835465309",1
01708947-4501-4E8E-90B3-1F27EE08CCEB,"55.669604940787067,12.57163210017865",1
01772A4B-6690-4317-83F6-00BE30D23300,"55.628652288988505,12.483422780187617",1
017EA54E-DDA2-42E1-A68A-1B51BFB6E118,"55.715644629726619,12.546028810869913",1
0185D3E4-A782-4804-AC38-7C04FF531552,"55.657918242409039,12.55725701096261",1
0186655F-0B70-4AE6-A9B2-DBBBD91B8FE1,"55.665905172697492,12.566438079931416",1
018B9E4F-1BCE-4432-BDAA-99A249614BC6,"55.716365456206731,12.534329291473821",1
018E0746-CD43-457C-BB88-67F03053AD35,"55.6908514774407,12.616600137808449",1
0190c7ba-9cf0-4932-a637-ef4093cae4ed,"55.723198,12.5415362",1
0196CB43-27DD-49FF-A7A4-CCF68582DDD8,"55.7025115775686,12.586347337826609",1
01AFF235-4359-4DF6-9038-2859EE7C8080,"55.680843011718231,12.55554048610597",1
01B08C0C-505F-4B80-863B-73014DB1E308,"55.6547340651275,12.518668060085757",1
01B1B2F5-1452-4A9A-8451-5D4F8B055691,"55.654550956475624,12.509806911829539",1
01C2F0E4-9AAB-4186-ADA3-E91F2067F333,"55.653360469622427,12.54877155248748",1
01C6586E-245B-4FA3-8E0C-056B5ACD39B0,"55.648714294641465,12.647539506566741",1
01C94D47-C058-4286-A492-8FFE43517BD5,"55.686574848420143,12.593103968164749",1
01D9C68B-C14E-46C0-9822-9E9C548E16A6,"55.683690721503872,12.587106267483215",1
01DC9CA3-081A-409A-B7DC-2A83EB3CBCDE,"55.676918766475467,12.514041553795995",1
01DE14E5-59F3-4D20-A862-16964F610DFA,"55.686611668260653,12.59318684796558",1
01DFEF5C-72FA-44AE-92EF-581E3948A4C3,"55.647995030953112,12.547402887536336",1
01EE8C6B-E090-477B-A45D-A0F24CA3B981,"55.718327638219037,12.557326676195689",1
01FBE78F-9079-48D3-85B6-1E2C6817CC3C,"55.624493334042107,12.57677436897891",1
01a5ad5f-f15f-4911-95ef-084b072151bc,"55.6850267,12.5789323",1
01c10c98-1abf-45a8-81b5-d0bb47d18b3e,"55.7094352,12.6006871",1
01c59880-d8a9-4791-93f4-7259738f7d95,"55.6593846,12.6169743",1
01ebfe9b-86a7-46be-a8ec-59638901fd35,"55.6526978,12.540428",1
01f93d3f-0d4e-4640-8988-c62c645ef984,"55.6694555,12.5713295",1
02044be4-f006-401b-a2b9-b166d5592334,"55.6760783,12.5142851",1
0204533C-0E6E-4A22-8294-E133AF18C0E9,"55.703627618992861,12.505123374034035",1
02323462-66F4-4DBA-81A0-5A90433851E6,"55.628709015482578,12.64589844150917",1
02465F71-D715-40CB-9C6D-F9FDA47CFE8E,"55.631351199045689,12.656468471851616",1
024715D9-C24A-4075-8FF1-157344150DB7,"55.6887154728487,12.495311166241059",1
025148DF-A4AC-4DBB-85DE-D8566753547C,"55.669731866261237,12.59725530661888",1
0262F7A0-6F66-4204-971A-C517C44AAE6C,"55.718382527172636,12.561563663196342",1
0266FD63-38D1-4BA2-A071-41F4B27E1747,"55.716579360186628,12.534111378526079",1
027091F0-C76F-4899-AE0F-540BD042B21F,"55.650729087182022,12.566644841854471",1
0272F323-AFA4-4725-9811-8475CA5E683D,"55.667153827048089,12.56666263649398",1
02824EBF-B11B-4202-8A80-5DD0A286DB34,"55.680859552812414,12.596703851726556",1
0283BA01-9FC1-4E42-AB80-8A8602AABBC0,"55.669620687272449,12.57159316929695",1
0286e029-8e26-42b8-8014-fc0d5ef6b797,"55.6696178,12.5716808",1
0290AF66-2C52-41BC-ACA4-EBE2E89A96F1,"55.66685806561631,12.5667155668162",1
0290C728-44B6-4A1B-9FE4-8EDD0B8300CF,"55.654377881814227,12.62390342492087",1
02919550-8BA4-4F02-8851-B570272D1C80,"55.671970392570522,12.519447056648207",1
0292577A-E79A-4648-A790-0E5F7FCAAD74,"55.657631373583982,12.62389863968013",1
